process_code,case_id,risk_score,anomaly_score,overall_severity,top_step_name,top_step_duration_min,top_step_p95,top_step_deviation_p95,top_step_zscore,top_step_severity,validation_warnings
IMPORT_CUSTOMS_CLEARANCE,ORD_6649071881,12.0,0.390425,NORMAL,STEP_005_RISK_CHANNELING,41.733,49.154,0.849,1.308,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5696732762,53.0,0.420566,BOTTLENECK,STEP_005_RISK_CHANNELING,59.017,49.154,1.201,2.536,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4919696402,64.0,0.431496,ELEVATED,STEP_004_SUBMIT_DECLARATION,56.533,50.083,1.129,2.373,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_0437695220,88.0,0.473912,CRITICAL,STEP_010_PAYMENT_CONFIRMED,755.933,441.608,1.712,4.253,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7168012352,37.0,0.40901,BOTTLENECK,STEP_012_RELEASE_ORDER_ISSUED,755.683,593.958,1.272,2.82,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7302123729,6.0,0.384037,NORMAL,STEP_003_HS_CLASSIFICATION,30.133,48.308,0.624,0.471,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_0866381239,19.0,0.396621,NORMAL,STEP_016_CUSTOMS_CLOSEOUT,42.367,48.433,0.875,1.403,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1670281537,67.0,0.434862,BOTTLENECK,STEP_014_PORT_GATE_OUT,22.883,19.383,1.181,2.569,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_0498150402,14.0,0.391461,NORMAL,STEP_002_DOC_VALIDATION,24.35,30.15,0.808,1.129,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5913593702,11.0,0.389231,NORMAL,STEP_014_PORT_GATE_OUT,19.45,19.383,1.003,1.923,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5081208156,14.0,0.391498,NORMAL,STEP_006_DOCUMENT_INSPECTION,833.25,1016.933,0.819,1.296,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1513803192,92.0,0.487059,BOTTLENECK,STEP_012_RELEASE_ORDER_ISSUED,786.183,593.958,1.324,3.0,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3222940887,21.0,0.397676,NORMAL,STEP_011_CLEARANCE_APPROVED,351.617,589.067,0.597,0.447,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4081239314,58.0,0.425003,NORMAL,STEP_007_PHYSICAL_INSPECTION_COMPLETE,949.917,1018.504,0.933,1.741,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3772984971,79.0,0.451934,BOTTLENECK,STEP_001_DOC_RECEIVED,66.267,47.446,1.397,3.31,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8322154494,12.0,0.390442,NORMAL,STEP_016_CUSTOMS_CLOSEOUT,39.233,48.433,0.81,1.176,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4499172983,77.0,0.44884,ELEVATED,STEP_010_PAYMENT_CONFIRMED,499.183,441.608,1.13,2.252,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7510137831,99.0,0.590941,BOTTLENECK,STEP_006_DOCUMENT_INSPECTION,1440.0,1016.933,1.416,3.497,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6584271143,82.0,0.457599,BOTTLENECK,STEP_008_LAB_TEST_COMPLETE,1263.633,1034.217,1.222,2.908,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6228739903,95.0,0.501248,BOTTLENECK,STEP_013_CARGO_RELEASED,812.567,611.192,1.329,3.082,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5878034619,44.0,0.41352,NORMAL,STEP_012_RELEASE_ORDER_ISSUED,672.067,593.958,1.132,2.324,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7179940649,74.0,0.444147,BOTTLENECK,STEP_005_RISK_CHANNELING,65.583,49.154,1.334,3.003,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1812000926,71.0,0.439392,BOTTLENECK,STEP_016_CUSTOMS_CLOSEOUT,63.45,48.433,1.31,2.931,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_0386429168,96.0,0.511764,BOTTLENECK,STEP_014_PORT_GATE_OUT,25.017,19.383,1.291,2.971,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4353230119,69.0,0.436746,BOTTLENECK,STEP_005_RISK_CHANNELING,63.217,49.154,1.286,2.835,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4451126376,99.0,0.560633,BOTTLENECK,STEP_006_DOCUMENT_INSPECTION,1440.0,1016.933,1.416,3.497,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1803229565,91.0,0.484013,BOTTLENECK,STEP_015_HANDOFF_TO_CARRIER,58.017,49.275,1.177,2.571,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3674280138,87.0,0.468817,BOTTLENECK,STEP_005_RISK_CHANNELING,63.267,49.154,1.287,2.838,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_2734484520,83.0,0.459688,BOTTLENECK,STEP_014_PORT_GATE_OUT,24.133,19.383,1.245,2.804,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3729004774,3.0,0.379438,NORMAL,STEP_006_DOCUMENT_INSPECTION,814.1,1016.933,0.801,1.227,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_2388371340,98.0,0.52777,CRITICAL,STEP_009_DUTY_TAX_INVOICE_ISSUED,1440.0,452.238,3.184,9.377,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5453397125,60.0,0.426905,ELEVATED,STEP_006_DOCUMENT_INSPECTION,1001.85,1016.933,0.985,1.908,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5863813134,59.0,0.426189,NORMAL,STEP_004_SUBMIT_DECLARATION,55.75,50.083,1.113,2.317,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3587502558,78.0,0.450976,ELEVATED,STEP_007_PHYSICAL_INSPECTION_COMPLETE,1125.0,1018.504,1.105,2.38,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_9380245106,85.0,0.464759,BOTTLENECK,STEP_015_HANDOFF_TO_CARRIER,63.867,49.275,1.296,3.002,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3899654454,95.0,0.503111,CRITICAL,STEP_006_DOCUMENT_INSPECTION,1594.583,1016.933,1.568,4.057,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8477198972,43.0,0.412892,CRITICAL,STEP_003_HS_CLASSIFICATION,131.5,48.308,2.722,7.601,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7538231709,56.0,0.422984,BOTTLENECK,STEP_016_CUSTOMS_CLOSEOUT,57.85,48.433,1.194,2.525,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6341250872,94.0,0.49516,CRITICAL,STEP_009_DUTY_TAX_INVOICE_ISSUED,745.517,452.238,1.649,4.076,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7887300935,28.0,0.402142,NORMAL,STEP_015_HANDOFF_TO_CARRIER,45.283,49.275,0.919,1.632,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3931288180,42.0,0.412047,NORMAL,STEP_013_CARGO_RELEASED,701.967,611.192,1.149,2.438,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8906209670,55.0,0.422815,NORMAL,STEP_004_SUBMIT_DECLARATION,53.583,50.083,1.07,2.161,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1373329707,80.0,0.45263,CRITICAL,STEP_002_DOC_VALIDATION,119.333,30.15,3.958,11.72,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5037339179,77.0,0.449439,CRITICAL,STEP_001_DOC_RECEIVED,74.333,47.446,1.567,3.926,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7047379681,78.0,0.449526,CRITICAL,STEP_005_RISK_CHANNELING,97.45,49.154,1.983,5.267,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6116743343,45.0,0.414542,NORMAL,STEP_002_DOC_VALIDATION,31.05,30.15,1.03,1.876,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_2835839310,92.0,0.487751,CRITICAL,STEP_004_SUBMIT_DECLARATION,83.417,50.083,1.666,4.298,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6887334967,86.0,0.467663,BOTTLENECK,STEP_003_HS_CLASSIFICATION,57.7,48.308,1.194,2.41,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6130099441,72.0,0.440031,ELEVATED,STEP_013_CARGO_RELEASED,677.383,611.192,1.108,2.295,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8216137612,76.0,0.446048,ELEVATED,STEP_014_PORT_GATE_OUT,20.7,19.383,1.068,2.159,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4023565150,93.0,0.490322,BOTTLENECK,STEP_011_CLEARANCE_APPROVED,792.467,589.067,1.345,3.135,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4761891198,97.0,0.526259,BOTTLENECK,STEP_013_CARGO_RELEASED,849.667,611.192,1.39,3.298,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3868139583,19.0,0.396137,NORMAL,STEP_010_PAYMENT_CONFIRMED,358.217,441.608,0.811,1.154,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_0148795744,69.0,0.437889,ELEVATED,STEP_008_LAB_TEST_COMPLETE,1070.117,1034.217,1.035,2.201,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3477336125,63.0,0.429747,ELEVATED,STEP_004_SUBMIT_DECLARATION,47.533,50.083,0.949,1.728,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_2330242761,55.0,0.422159,BOTTLENECK,STEP_012_RELEASE_ORDER_ISSUED,786.05,593.958,1.323,2.999,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5384322247,10.0,0.388687,NORMAL,STEP_011_CLEARANCE_APPROVED,507.1,589.067,0.861,1.395,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_9144495480,71.0,0.439655,BOTTLENECK,STEP_015_HANDOFF_TO_CARRIER,67.683,49.275,1.374,3.283,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7769371825,19.0,0.395948,NORMAL,STEP_003_HS_CLASSIFICATION,35.083,48.308,0.726,0.819,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_0652317577,13.0,0.391059,NORMAL,STEP_014_PORT_GATE_OUT,18.6,19.383,0.96,1.763,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6922438567,4.0,0.382208,NORMAL,STEP_004_SUBMIT_DECLARATION,41.367,50.083,0.826,1.286,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7861939348,94.0,0.49835,CRITICAL,STEP_015_HANDOFF_TO_CARRIER,111.8,49.275,2.269,6.535,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5537054843,35.0,0.407395,NORMAL,STEP_005_RISK_CHANNELING,49.583,49.154,1.009,1.866,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1452475804,90.0,0.478463,CRITICAL,STEP_004_SUBMIT_DECLARATION,90.083,50.083,1.799,4.776,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7307268103,27.0,0.401815,NORMAL,STEP_007_PHYSICAL_INSPECTION_COMPLETE,803.9,1018.504,0.789,1.209,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4549013122,34.0,0.406372,BOTTLENECK,STEP_014_PORT_GATE_OUT,24.283,19.383,1.253,2.833,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5601441036,64.0,0.431004,BOTTLENECK,STEP_001_DOC_RECEIVED,58.1,47.446,1.225,2.687,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4907567549,93.0,0.491687,BOTTLENECK,STEP_011_CLEARANCE_APPROVED,879.9,589.067,1.494,3.668,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_9766521359,53.0,0.421108,NORMAL,STEP_012_RELEASE_ORDER_ISSUED,636.0,593.958,1.071,2.111,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7524062533,83.0,0.461294,BOTTLENECK,STEP_006_DOCUMENT_INSPECTION,1226.1,1016.933,1.206,2.721,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5006826333,66.0,0.432919,BOTTLENECK,STEP_014_PORT_GATE_OUT,24.633,19.383,1.271,2.898,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_9498137732,75.0,0.444722,ELEVATED,STEP_006_DOCUMENT_INSPECTION,1159.05,1016.933,1.14,2.478,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_0761258841,85.0,0.466036,CRITICAL,STEP_001_DOC_RECEIVED,94.983,47.446,2.002,5.501,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8808155417,34.0,0.406765,NORMAL,STEP_010_PAYMENT_CONFIRMED,374.717,441.608,0.849,1.282,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8975922489,6.0,0.384636,NORMAL,STEP_014_PORT_GATE_OUT,14.35,19.383,0.74,0.964,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7375543758,28.0,0.402718,NORMAL,STEP_015_HANDOFF_TO_CARRIER,52.517,49.275,1.066,2.165,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_9480913046,18.0,0.39564,NORMAL,STEP_006_DOCUMENT_INSPECTION,897.833,1016.933,0.883,1.53,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7130121772,95.0,0.507642,BOTTLENECK,STEP_008_LAB_TEST_COMPLETE,1440.0,1034.217,1.392,3.553,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6152150413,50.0,0.418579,NORMAL,STEP_002_DOC_VALIDATION,32.733,30.15,1.086,2.063,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7076637452,46.0,0.414944,BOTTLENECK,STEP_010_PAYMENT_CONFIRMED,531.5,441.608,1.204,2.504,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3426938680,55.0,0.422164,BOTTLENECK,STEP_002_DOC_VALIDATION,36.767,30.15,1.219,2.513,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8178080118,98.0,0.539145,CRITICAL,STEP_012_RELEASE_ORDER_ISSUED,1440.0,593.958,2.424,6.872,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_2660526569,61.0,0.428006,ELEVATED,STEP_007_PHYSICAL_INSPECTION_COMPLETE,938.483,1018.504,0.921,1.7,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4882358587,26.0,0.400958,NORMAL,STEP_015_HANDOFF_TO_CARRIER,45.9,49.275,0.932,1.678,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4587228481,26.0,0.401187,NORMAL,STEP_015_HANDOFF_TO_CARRIER,49.283,49.275,1.0,1.927,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8487786557,96.0,0.509637,BOTTLENECK,STEP_008_LAB_TEST_COMPLETE,1210.55,1034.217,1.17,2.714,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6945359235,28.0,0.402141,NORMAL,STEP_012_RELEASE_ORDER_ISSUED,441.333,593.958,0.743,0.958,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1017845361,22.0,0.398391,NORMAL,STEP_013_CARGO_RELEASED,526.633,611.192,0.862,1.417,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8050132740,40.0,0.411467,NORMAL,STEP_002_DOC_VALIDATION,24.95,30.15,0.828,1.196,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1264397652,9.0,0.388124,NORMAL,STEP_013_CARGO_RELEASED,522.267,611.192,0.855,1.391,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_2455214178,32.0,0.405319,NORMAL,STEP_001_DOC_RECEIVED,37.667,47.446,0.794,1.129,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1289868548,46.0,0.415503,BOTTLENECK,STEP_014_PORT_GATE_OUT,24.983,19.383,1.289,2.964,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_2160087017,72.0,0.441277,ELEVATED,STEP_014_PORT_GATE_OUT,18.733,19.383,0.966,1.789,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8753987150,47.0,0.415958,NORMAL,STEP_001_DOC_RECEIVED,38.467,47.446,0.811,1.19,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3263061312,9.0,0.387944,NORMAL,STEP_009_DUTY_TAX_INVOICE_ISSUED,400.633,452.238,0.886,1.443,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_0938502364,47.0,0.415679,NORMAL,STEP_015_HANDOFF_TO_CARRIER,48.667,49.275,0.988,1.882,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3424458694,52.0,0.41972,NORMAL,STEP_007_PHYSICAL_INSPECTION_COMPLETE,931.483,1018.504,0.915,1.674,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_9446370778,66.0,0.433416,BOTTLENECK,STEP_001_DOC_RECEIVED,64.967,47.446,1.369,3.211,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_9245300953,86.0,0.468689,BOTTLENECK,STEP_005_RISK_CHANNELING,58.667,49.154,1.194,2.511,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6828892165,17.0,0.394954,NORMAL,STEP_011_CLEARANCE_APPROVED,413.0,589.067,0.701,0.821,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_0221645315,50.0,0.418442,NORMAL,STEP_002_DOC_VALIDATION,33.767,30.15,1.12,2.179,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8134207288,7.0,0.384981,NORMAL,STEP_011_CLEARANCE_APPROVED,555.7,589.067,0.943,1.691,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_2527711801,28.0,0.402611,NORMAL,STEP_010_PAYMENT_CONFIRMED,373.45,441.608,0.846,1.272,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7179435129,31.0,0.404501,NORMAL,STEP_006_DOCUMENT_INSPECTION,773.633,1016.933,0.761,1.08,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5802014948,77.0,0.447932,BOTTLENECK,STEP_014_PORT_GATE_OUT,26.967,19.383,1.391,3.337,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6972562020,80.0,0.453412,CRITICAL,STEP_016_CUSTOMS_CLOSEOUT,130.683,48.433,2.698,7.802,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_9735534966,34.0,0.406691,NORMAL,STEP_001_DOC_RECEIVED,49.517,47.446,1.044,2.033,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6928689418,5.0,0.383275,NORMAL,STEP_012_RELEASE_ORDER_ISSUED,467.917,593.958,0.788,1.115,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6200060867,97.0,0.519509,BOTTLENECK,STEP_006_DOCUMENT_INSPECTION,1440.0,1016.933,1.416,3.497,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5256635656,76.0,0.445963,BOTTLENECK,STEP_004_SUBMIT_DECLARATION,67.383,50.083,1.345,3.15,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8651147961,16.0,0.393719,NORMAL,STEP_014_PORT_GATE_OUT,15.8,19.383,0.815,1.237,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4280834429,22.0,0.39871,NORMAL,STEP_016_CUSTOMS_CLOSEOUT,40.283,48.433,0.832,1.252,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6275669518,11.0,0.389172,NORMAL,STEP_005_RISK_CHANNELING,39.467,49.154,0.803,1.147,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_2353136424,98.0,0.544057,CRITICAL,STEP_012_RELEASE_ORDER_ISSUED,1174.417,593.958,1.977,5.3,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_2457296214,21.0,0.398114,NORMAL,STEP_006_DOCUMENT_INSPECTION,1002.3,1016.933,0.986,1.909,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5059475750,42.0,0.4121,NORMAL,STEP_004_SUBMIT_DECLARATION,45.067,50.083,0.9,1.551,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4925344652,68.0,0.435534,BOTTLENECK,STEP_015_HANDOFF_TO_CARRIER,59.833,49.275,1.214,2.705,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_0430877911,89.0,0.474913,CRITICAL,STEP_015_HANDOFF_TO_CARRIER,86.133,49.275,1.748,4.643,CRITICAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_3495259249,31.0,0.404569,NORMAL,STEP_010_PAYMENT_CONFIRMED,482.167,441.608,1.092,2.12,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_5968952017,89.0,0.475493,BOTTLENECK,STEP_008_LAB_TEST_COMPLETE,1258.583,1034.217,1.217,2.89,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_9470667271,1.0,0.377073,NORMAL,STEP_002_DOC_VALIDATION,23.383,30.15,0.776,1.021,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6969976428,43.0,0.413068,NORMAL,STEP_004_SUBMIT_DECLARATION,46.75,50.083,0.933,1.672,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7604180681,73.0,0.441995,BOTTLENECK,STEP_010_PAYMENT_CONFIRMED,593.6,441.608,1.344,2.988,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_4251147939,42.0,0.412364,NORMAL,STEP_008_LAB_TEST_COMPLETE,901.6,1034.217,0.872,1.585,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_1973702072,69.0,0.437337,ELEVATED,STEP_015_HANDOFF_TO_CARRIER,53.05,49.275,1.077,2.205,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6504961361,93.0,0.493627,BOTTLENECK,STEP_007_PHYSICAL_INSPECTION_COMPLETE,1440.0,1018.504,1.414,3.529,BOTTLENECK,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_8034021967,32.0,0.405428,NORMAL,STEP_004_SUBMIT_DECLARATION,45.917,50.083,0.917,1.612,NORMAL,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_9629376450,45.0,0.414341,NORMAL,STEP_003_HS_CLASSIFICATION,53.467,48.308,1.107,2.112,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_7418122517,39.0,0.410369,NORMAL,STEP_016_CUSTOMS_CLOSEOUT,51.617,48.433,1.066,2.073,WATCHLIST,[]
IMPORT_CUSTOMS_CLEARANCE,ORD_6428203052,57.0,0.424571,NORMAL,STEP_015_HANDOFF_TO_CARRIER,50.6,49.275,1.027,2.024,WATCHLIST,[]
